language,rule,category,subcategory,subsubcategory,error_count,file_count,tot_essays
Arabic,WHITESPACE_RULE,Orthography,Typography,Typography,3150,828,1100
Chinese,WHITESPACE_RULE,Orthography,Typography,Typography,2922,840,1100
French,WHITESPACE_RULE,Orthography,Typography,Typography,1566,592,1100
German,WHITESPACE_RULE,Orthography,Typography,Typography,843,467,1100
Hindi,WHITESPACE_RULE,Orthography,Typography,Typography,3593,797,1100
Italian,WHITESPACE_RULE,Orthography,Typography,Typography,1607,651,1100
Japanese,WHITESPACE_RULE,Orthography,Typography,Typography,3987,796,1100
Korean,WHITESPACE_RULE,Orthography,Typography,Typography,2259,768,1100
Spanish,WHITESPACE_RULE,Orthography,Typography,Typography,2153,685,1100
Telugu,WHITESPACE_RULE,Orthography,Typography,Typography,5905,987,1100
Turkish,WHITESPACE_RULE,Orthography,Typography,Typography,3002,786,1100
Arabic,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,2,2,1100
Chinese,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,4,3,1100
French,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,2,2,1100
German,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,8,7,1100
Hindi,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,2,2,1100
Italian,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,0,0,1100
Japanese,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,3,3,1100
Korean,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,0,0,1100
Spanish,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,1,1,1100
Telugu,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,0,0,1100
Turkish,TOO_ADJECTIVE_TO,Grammar,spelling,homophons,1,1,1100
Arabic,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",11,11,1100
Chinese,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",6,6,1100
French,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",23,20,1100
German,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",19,16,1100
Hindi,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",2,2,1100
Italian,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",24,22,1100
Japanese,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",5,5,1100
Korean,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",2,2,1100
Spanish,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",45,36,1100
Telugu,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",5,5,1100
Turkish,DEPEND_ON,Grammar,"verb particle missing","missing 'on'",6,6,1100
Arabic,EN_QUOTES,Orthography,Typography,Typography,626,206,1100
Chinese,EN_QUOTES,Orthography,Typography,Typography,741,226,1100
French,EN_QUOTES,Orthography,Typography,Typography,596,195,1100
German,EN_QUOTES,Orthography,Typography,Typography,1029,296,1100
Hindi,EN_QUOTES,Orthography,Typography,Typography,1201,345,1100
Italian,EN_QUOTES,Orthography,Typography,Typography,939,287,1100
Japanese,EN_QUOTES,Orthography,Typography,Typography,663,200,1100
Korean,EN_QUOTES,Orthography,Typography,Typography,588,198,1100
Spanish,EN_QUOTES,Orthography,Typography,Typography,826,248,1100
Telugu,EN_QUOTES,Orthography,Typography,Typography,1114,383,1100
Turkish,EN_QUOTES,Orthography,Typography,Typography,424,146,1100
Arabic,SENTENCE_WHITESPACE,Orthography,Typography,Typography,812,270,1100
Chinese,SENTENCE_WHITESPACE,Orthography,Typography,Typography,1497,290,1100
French,SENTENCE_WHITESPACE,Orthography,Typography,Typography,624,197,1100
German,SENTENCE_WHITESPACE,Orthography,Typography,Typography,204,65,1100
Hindi,SENTENCE_WHITESPACE,Orthography,Typography,Typography,2827,518,1100
Italian,SENTENCE_WHITESPACE,Orthography,Typography,Typography,345,144,1100
Japanese,SENTENCE_WHITESPACE,Orthography,Typography,Typography,792,220,1100
Korean,SENTENCE_WHITESPACE,Orthography,Typography,Typography,239,113,1100
Spanish,SENTENCE_WHITESPACE,Orthography,Typography,Typography,206,103,1100
Telugu,SENTENCE_WHITESPACE,Orthography,Typography,Typography,4385,699,1100
Turkish,SENTENCE_WHITESPACE,Orthography,Typography,Typography,2025,320,1100
Arabic,NOW,Orthography,"Possiple Typo","Possiple Typo",9,9,1100
Chinese,NOW,Orthography,"Possiple Typo","Possiple Typo",14,12,1100
French,NOW,Orthography,"Possiple Typo","Possiple Typo",9,9,1100
German,NOW,Orthography,"Possiple Typo","Possiple Typo",7,7,1100
Hindi,NOW,Orthography,"Possiple Typo","Possiple Typo",9,9,1100
Italian,NOW,Orthography,"Possiple Typo","Possiple Typo",9,9,1100
Japanese,NOW,Orthography,"Possiple Typo","Possiple Typo",1,1,1100
Korean,NOW,Orthography,"Possiple Typo","Possiple Typo",6,6,1100
Spanish,NOW,Orthography,"Possiple Typo","Possiple Typo",17,15,1100
Telugu,NOW,Orthography,"Possiple Typo","Possiple Typo",17,13,1100
Turkish,NOW,Orthography,"Possiple Typo","Possiple Typo",7,7,1100
Arabic,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,213,195,1100
Chinese,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,142,133,1100
French,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,196,175,1100
German,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,96,95,1100
Hindi,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,127,109,1100
Italian,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,163,154,1100
Japanese,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,123,122,1100
Korean,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,171,157,1100
Spanish,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,144,132,1100
Telugu,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,159,149,1100
Turkish,PUNCTUATION_PARAGRAPH_END,Orthography,Punctuation,Punctuation,145,134,1100
Arabic,DASH_RULE,Orthography,Punctuation,Punctuation,22,14,1100
Chinese,DASH_RULE,Orthography,Punctuation,Punctuation,21,13,1100
