wrong_errortype,correct_errortype,wrong_sentence,correct_sentence
RA,RP,"| it was a cold, stormy, winter's night outside. The wind was blowing and the heavy rain was drumming against our bedroom window. I could hear an owl hooting in the tree nearby. My husband and I were sitting on our bed. ","| It was a cold, stormy, winter's night outside. The wind was blowing and the heavy rain was drumming against our bedroom window. I could hear an owl hooting in the tree nearby. My husband and I were sitting on our bed. "
TV,IV,"I was born in 1973. At this time, our nation was a developing country. Almost all the people had a Television which provided events around our country very quickly. As I | growed up, T.V was one of the most mysterious things like a telephone and a bus. ","I was born in 1973. At this time, our nation was a developing country. Almost all the people had a Television which provided events around our country very quickly. As I | grew up, T.V was one of the most mysterious things like a telephone and a bus. "
DJ,IJ,"To sum up, there are both | positives and negative aspects to modern technology, because it can make our lives easy but at the same time it is causing lots of problems for us. ","To sum up, there are both | positive and negative aspects to modern technology, because it can make our lives easy but at the same time it is causing lots of problems for us. "
UJ,UY,I really appreciate this kind of trip and I'm really grateful for your | truly attention. ,I really appreciate this kind of trip and I'm really grateful for your | attention. 
MD,RP,"Above is all the information you asked for , however . However , there are | something I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. ","Above is all the information you asked for , however . However , there are | some thing I'd like to know; the first is about the clothes , what . What kind of clothes do I need to take with me? And another question is what are the prices of things like there, which I want to know so that I can make a better budget for my trip. "
FN,CN,"Despite this, I'm convinced all this progress has caused some | damages to the community, not only physically. We pay less attention to our life, to those things which give us happiness, that aren't money, success, power. ","Despite this, I'm convinced all this progress has caused some | damage to the community, not only physically. We pay less attention to our life, to those things which give us happiness, that aren't money, success, power. "
RP,DV,"I suggest filming our English lessons and Maths lessons. From the activities I suggest filming sports lessons . and music lessons. We have very interesting English lessons. They are always funny and nice. We always learn something new. At some lessons students are always working, but as we work, we joke, discuss many topics, tell some stories about our life. Students think that we don't do anything and we don't learn anything special. It's not true. We | practice our English and I think we have to film our English lessons, so others can see that to study this way is better than to study the way they do. Also Maths . lessons are so interesting. Many people don't like Maths because they think that it's a boring subject. I think it all depends on the teacher. Our Maths . teacher knows how to teach so we don't get tired of his lessons. I think we should film the Maths . lessons, so students and some teachers will change their opinion about Maths. For activities, we should film sports lessons because we always do something new. We have many competitions with other schools, and we always have fun. Our music lessons are special. We try to play many instruments, and sing even if we don't know how. And it's always interesting to watch others while they do something like that. ","I suggest filming our English lessons and Maths lessons. From the activities I suggest filming sports lessons . and music lessons. We have very interesting English lessons. They are always funny and nice. We always learn something new. At some lessons students are always working, but as we work, we joke, discuss many topics, tell some stories about our life. Students think that we don't do anything and we don't learn anything special. It's not true. We | practise our English and I think we have to film our English lessons, so others can see that to study this way is better than to study the way they do. Also Maths . lessons are so interesting. Many people don't like Maths because they think that it's a boring subject. I think it all depends on the teacher. Our Maths . teacher knows how to teach so we don't get tired of his lessons. I think we should film the Maths . lessons, so students and some teachers will change their opinion about Maths. For activities, we should film sports lessons because we always do something new. We have many competitions with other schools, and we always have fun. Our music lessons are special. We try to play many instruments, and sing even if we don't know how. And it's always interesting to watch others while they do something like that. "
RP,RA,When I feel in the mood for shopping everything is closed or | you haven't enough time to look around. ,When I feel in the mood for shopping everything is closed or | I haven't enough time to look around. 
FN,CN,"So I had to ask them for their | identifications and for their invitations. After that, I had to take them to their respective seats. ","So I had to ask them for their | identification and for their invitations. After that, I had to take them to their respective seats. "
UT,M,"First of all, I'd like to travel in July because I have to work | except that month. July is the only month that I can be free. ","First of all, I'd like to travel in July because I have to work | every month except that month. July is the only month that I can be free. "
