,student_id,language,overall_score,exam_score,raw_sentence,error_type,error_length,correction_length,correct_error_index,correct_sentence,correct_trigram,correct_trigram_tags,correct_trigram_deps,correct_trigram_poss,correct_trigram_tag_0,correct_trigram_tag_1,correct_trigram_tag_2,correct_trigram_dep_0,correct_trigram_dep_1,correct_trigram_dep_2,incorrect_error_index,incorrect_sentence,incorrect_trigram,incorrect_trigram_tags,incorrect_trigram_deps,incorrect_trigram_poss,incorrect_trigram_tag_0,incorrect_trigram_tag_1,incorrect_trigram_tag_2,incorrect_trigram_dep_0,incorrect_trigram_dep_1,incorrect_trigram_dep_2,0_0_tag,0_1_tag,0_2_tag,1_0_tag,1_1_tag,1_2_tag,2_0_tag,2_1_tag,2_2_tag,0_0_dep,0_1_dep,0_2_dep,1_0_dep,1_1_dep,1_2_dep,2_0_dep,2_1_dep,2_2_dep
0,TR247*0102*2000*02,Russian,25.00,3.2,"<NS type=""RY""><i>At first</i><c>First</c></NS>, I <NS type=""RV""><i>propose</i><c>suggest</c></NS> <NS type=""MA""><c>you</c></NS> <NS type=""FV""><i>to invite</i><c>invite</c></NS> stars and artists not from all <NS type=""MT""><c>over</c></NS> the world, but from only six countries. This change will give <NS type=""M""></NS> <NS type=""MD""><c>the</c></NS> opportunity to <NS type=""R"">create some different performance</NS>.",M,1,1,26,"First, I suggest you invite stars and artists not from all over the world, but from only six countries. This change will give | the opportunity to create some different performance . ","['the', 'opportunity', 'to']",DT NN TO,det dobj aux,DET NOUN PART,DT,NN,TO,det,dobj,aux,26,"First, I suggest you invite stars and artists not from all over the world, but from only six countries. This change will give | the opportunity to create some different performance . ","['the', 'opportunity', 'to']",DT NN TO,det dobj aux,DET NOUN PART,DT,NN,TO,det,dobj,aux,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
1,TR247*0102*2000*02,Russian,25.00,3.2,"<NS type=""RY""><i>At first</i><c>First</c></NS>, I <NS type=""RV""><i>propose</i><c>suggest</c></NS> <NS type=""MA""><c>you</c></NS> <NS type=""FV""><i>to invite</i><c>invite</c></NS> stars and artists not from all <NS type=""MT""><c>over</c></NS> the world, but from only six countries. This change will give <NS type=""M""></NS> <NS type=""MD""><c>the</c></NS> opportunity to <NS type=""R"">create some different performance</NS>.",R,4,1,29,"First, I suggest you invite stars and artists not from all over the world, but from only six countries. This change will give the opportunity to | . ","['.', '_', '_']",. _ _,punct _ _,PUNCT _ _,.,_,_,punct,_,_,29,"First, I suggest you invite stars and artists not from all over the world, but from only six countries. This change will give the opportunity to | create some different performance. ","['create', 'some', 'different']",VB DT JJ,acl det amod,VERB DET ADJ,VB,DT,JJ,acl,det,amod,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,TR247*0102*2000*02,Russian,25.00,3.2,"<NS type=""UD""><i>The <NS type=""W""><i>second my</i><c>my second</c></NS></i><c>My second</c></NS> proposition is about <NS type=""MD""><c>the</c></NS> <NS type=""DJ""><i>classic</i><c>classical</c></NS> concerts. I <NS type=""RV""><i>suppose</i><c>think</c></NS> that some concert halls are too small, so you should be sure about <NS type=""UA""><i>it</i></NS> <NS type=""M""></NS> in advance.",M,1,1,25,"My second proposition is about the classical concerts. I think that some concert halls are too small, so you should be sure about | in advance. ","['in', 'advance', '.']",IN NN .,prep pobj punct,ADP NOUN PUNCT,IN,NN,.,prep,pobj,punct,25,"My second proposition is about the classical concerts. I think that some concert halls are too small, so you should be sure about | in advance. ","['in', 'advance', '.']",IN NN .,prep pobj punct,ADP NOUN PUNCT,IN,NN,.,prep,pobj,punct,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
3,TR247*0102*2000*02,Russian,25.00,2.3,"Thanks for your letter and postcard. It was really nice <NS type=""M""></NS>. The things you wrote about in your letter are quite <NS type=""RJ""><i>common</i><c>familiar</c></NS> for me, because we, <NS type=""RY""><i>actually</i><c>at the moment</c></NS>, have some problems <NS type=""RT""><i>about</i><c>with</c></NS> our rules.",M,1,1,11,"Thanks for your letter and postcard. It was really nice | . The things you wrote about in your letter are quite familiar for me, because we, at the moment, have some problems with our rules. ","['.', 'The', 'things']",. DT NNS,punct det nsubj,PUNCT DET NOUN,.,DT,NNS,punct,det,nsubj,11,"Thanks for your letter and postcard. It was really nice | . The things you wrote about in your letter are quite familiar for me, because we, at the moment, have some problems with our rules. ","['.', 'The', 'things']",. DT NNS,punct det nsubj,PUNCT DET NOUN,.,DT,NNS,punct,det,nsubj,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
4,TR247*0102*2000*02,Russian,25.00,2.3,"Write <NS type=""MT""><c>to</c></NS> me <NS type=""M""></NS> what <NS type=""UV""><i>do</i></NS> you think about it.",M,1,1,3,Write to me | what you think about it. ,"['what', 'you', 'think']",WP PRP VBP,dobj nsubj ccomp,PRON PRON VERB,WP,PRP,VBP,dobj,nsubj,ccomp,3,Write to me | what you think about it. ,"['what', 'you', 'think']",WP PRP VBP,dobj nsubj ccomp,PRON PRON VERB,WP,PRP,VBP,dobj,nsubj,ccomp,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
5,TR607*0102*2000*02,Turkish,32.00,4.3,"Firstly<NS type=""MP""><c>,</c></NS> I want to tell you that the idea of the ""International Arts Festival"" was a really great idea. I enjoyed the festival <NS type=""RY"">pretty</NS> much. However I think that it could be better if you could rearrange <NS type=""RJ""><i>little</i><c>small</c></NS> details.",RY,1,1,27,"Firstly, I want to tell you that the idea of the ""International Arts Festival"" was a really great idea. I enjoyed the festival | much. However I think that it could be better if you could rearrange small details. ","['much', '.', 'However']",RB . RB,advmod punct advmod,ADV PUNCT ADV,RB,.,RB,advmod,punct,advmod,27,"Firstly, I want to tell you that the idea of the ""International Arts Festival"" was a really great idea. I enjoyed the festival | pretty much. However I think that it could be better if you could rearrange small details. ","['pretty', 'much', '.']",RB RB .,advmod advmod punct,ADV ADV PUNCT,RB,RB,.,advmod,advmod,punct,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False
6,TR607*0102*2000*02,Turkish,32.00,4.3,"I think that next year you should have more artists from different countries, so that it can be a real International Festival. <NS type=""CE"">This also would take more attraction to the festival</NS>.",CE,9,1,24,"I think that next year you should have more artists from different countries, so that it can be a real International Festival. | . ","['.', '_', '_']",. _ _,punct _ _,PUNCT _ _,.,_,_,punct,_,_,24,"I think that next year you should have more artists from different countries, so that it can be a real International Festival. | This also would take more attraction to the festival. ","['This', 'also', 'would']",DT RB MD,nsubj advmod aux,DET ADV VERB,DT,RB,MD,nsubj,advmod,aux,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,TR607*0102*2000*02,Turkish,32.00,4.3,"The best thing about the festival was the price I think, because it <NS type=""RV""><i>made</i><c>had</c></NS> a really big effect on the <NS type=""RN"">attraction</NS>, <NS type=""MC""><c>and</c></NS> that of course made the festival much more enjoyable.",RN,1,1,21,"The best thing about the festival was the price I think, because it had a really big effect on the | , and that of course made the festival much more enjoyable. ","[',', 'and', 'that']",", CC DT",punct cc nsubj,PUNCT CCONJ DET,",",CC,DT,punct,cc,nsubj,21,"The best thing about the festival was the price I think, because it had a really big effect on the | attraction, and that of course made the festival much more enjoyable. ","['attraction', ',', 'and']","NN , CC",pobj punct cc,NOUN PUNCT CCONJ,NN,",",CC,pobj,punct,cc,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
8,TR65*0102*2000*02,German,25.00,3.2,"<NS type=""RP""><i>the</i><c>The</c></NS> rules at home are very different. I am allowed to do what I want as long as I <NS type=""S""><i>studie</i><c>study</c></NS> enough to <NS type=""DV"">aprove</NS>. I think that my parents let me do what I want<NS type=""UP""><i>,</i></NS> because they trust me. <NS type=""RP""><i>they</i><c>They</c></NS> know that if I go out with the car, I will not drink. It is not <NS type=""S""><i>allways</i><c>always</c></NS> easy, but there are rules in every home and you have to respect them.",DV,1,1,23,"The rules at home are very different. I am allowed to do what I want as long as I study enough to | . I think that my parents let me do what I want because they trust me. They know that if I go out with the car, I will not drink. It is not always easy, but there are rules in every home and you have to respect them. ","['.', 'I', 'think']",. PRP VBP,punct nsubj ROOT,PUNCT PRON VERB,.,PRP,VBP,punct,nsubj,ROOT,23,"The rules at home are very different. I am allowed to do what I want as long as I study enough to | aprove. I think that my parents let me do what I want because they trust me. They know that if I go out with the car, I will not drink. It is not always easy, but there are rules in every home and you have to respect them. ","['aprove', '.', 'I']",VB . PRP,xcomp punct nsubj,VERB PUNCT PRON,VB,.,PRP,xcomp,punct,nsubj,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
9,TR864*0102*2000*02,Turkish,38.00,5.3,"Let me talk about the rules at home. We like chatting on the phone so much that most of <NS type=""DD""><i>us'</i><c>our</c></NS> parents have limited the talking time <NS type=""UY""><i>down</i></NS> to five minutes, threatening to cut off the <NS type=""RN"">wires</NS> otherwise. Also, as most of us live in flats, we're not allowed to listen to loud music or run or play ball games in the house! But we are legally allowed to play instruments like the piano until 10 p.m.",RN,1,1,36,"Let me talk about the rules at home. We like chatting on the phone so much that most of our parents have limited the talking time to five minutes, threatening to cut off the | otherwise. Also, as most of us live in flats, we're not allowed to listen to loud music or run or play ball games in the house! But we are legally allowed to play instruments like the piano until 10 p.m. ","['otherwise', '.', 'Also']",RB . RB,dobj punct advmod,ADV PUNCT ADV,RB,.,RB,dobj,punct,advmod,36,"Let me talk about the rules at home. We like chatting on the phone so much that most of our parents have limited the talking time to five minutes, threatening to cut off the | wires otherwise. Also, as most of us live in flats, we're not allowed to listen to loud music or run or play ball games in the house! But we are legally allowed to play instruments like the piano until 10 p.m. ","['wires', 'otherwise', '.']",NNS RB .,dobj advmod punct,NOUN ADV PUNCT,NNS,RB,.,dobj,advmod,punct,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
10,TR854*0102*2000*02,Japanese,22.00,2.3,"First of all, <NS type=""R"">the only ""six countries"" doesn't mean ""around the world""</NS>. I suppose you had difficulty <NS type=""FV""><i>to manage</i><c>managing</c></NS> the schedule.",R,9,1,4,"First of all, | . I suppose you had difficulty managing the schedule. ","['.', 'I', 'suppose']",. PRP VBP,punct nsubj ROOT,PUNCT PRON VERB,.,PRP,VBP,punct,nsubj,ROOT,4,"First of all, | the only ""six countries"" doesn't mean ""around the world"". I suppose you had difficulty managing the schedule. ","['the', 'only', '""']",DT JJ ``,det amod punct,DET ADJ PUNCT,DT,JJ,``,det,amod,punct,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
