,student_id,language,overall_score,exam_score,raw_sentence,error_type,error_length,correction_length,correct_error_index,correct_sentence,correct_trigram,correct_trigram_tags,correct_trigram_deps,correct_trigram_poss,correct_trigram_tag_0,correct_trigram_tag_1,correct_trigram_tag_2,correct_trigram_dep_0,correct_trigram_dep_1,correct_trigram_dep_2,incorrect_error_index,incorrect_sentence,incorrect_trigram,incorrect_trigram_tags,incorrect_trigram_deps,incorrect_trigram_poss,incorrect_trigram_tag_0,incorrect_trigram_tag_1,incorrect_trigram_tag_2,incorrect_trigram_dep_0,incorrect_trigram_dep_1,incorrect_trigram_dep_2,0_0_tag,0_1_tag,0_2_tag,1_0_tag,1_1_tag,1_2_tag,2_0_tag,2_1_tag,2_2_tag,0_0_dep,0_1_dep,0_2_dep,1_0_dep,1_1_dep,1_2_dep,2_0_dep,2_1_dep,2_2_dep
78,TR184*0102*2000*02,Chinese,22.0,3.1,"The idea of <NS type=""MD""><c>an</c></NS> ""International Art Festival"" was great. But I feel the word <NS type=""UT""><i>of</i></NS> ""International"" was not really <NS type=""DJ""><i>suit</i><c>suitable</c></NS>; because you <NS type=""UY""><i>just</i></NS> only <NS type=""RV""><i>got</i><c>had</c></NS> six <NS type=""RP""><i>countrie's</i><c>countries'</c></NS> stars and artists <NS type=""UV""><i>came</i></NS>. I think you should invite more than ten countries. The other problem was <NS type=""R"">choosing space</NS><NS type=""RP""><i>. <NS type=""RT""><i>Like</i><c>As</c></NS></i><c>, as</c></NS> the hall of <NS type=""MD""><c>the</c></NS> classical concert was too small and crowded. Next year, you should <NS type=""S""><i>calulate</i><c>calculate</c></NS> or <NS type=""RV"">examine</NS> how many people <NS type=""TV""><i>come</i><c>will come</c></NS> before you choose a hall, <NS type=""CE"">which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well</NS>. And the offer of <NS type=""MD""><c>a</c></NS> ""<NS type=""S""><i>weedend</i><c>weekend</c></NS> ticket"" was an excellent idea<NS type=""RP""><i>. Because</i><c>, because</c></NS> <NS type=""R"">the price was cheaper than <NS type=""FV""><i>buy</i><c>buying</c></NS> it <NS type=""DY""><i><NS type=""S""><i>sperate</i><c>separate</c></NS></i><c>separately</c></NS> and more <NS type=""DJ""><i><NS type=""S""><i>convience</i><c>convenience</c></NS></i><c>convenient</c></NS></NS>.",R,2,1,50,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was | , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","[',', 'as', 'the']",", IN DT",punct mark det,PUNCT SCONJ DET,",",IN,DT,punct,mark,det,50,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was | choosing space, as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","['choosing', 'space', ',']","VBG NN ,",ROOT dobj punct,VERB NOUN PUNCT,VBG,NN,",",ROOT,dobj,punct,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
79,TR184*0102*2000*02,Chinese,22.0,3.1,"The idea of <NS type=""MD""><c>an</c></NS> ""International Art Festival"" was great. But I feel the word <NS type=""UT""><i>of</i></NS> ""International"" was not really <NS type=""DJ""><i>suit</i><c>suitable</c></NS>; because you <NS type=""UY""><i>just</i></NS> only <NS type=""RV""><i>got</i><c>had</c></NS> six <NS type=""RP""><i>countrie's</i><c>countries'</c></NS> stars and artists <NS type=""UV""><i>came</i></NS>. I think you should invite more than ten countries. The other problem was <NS type=""R"">choosing space</NS><NS type=""RP""><i>. <NS type=""RT""><i>Like</i><c>As</c></NS></i><c>, as</c></NS> the hall of <NS type=""MD""><c>the</c></NS> classical concert was too small and crowded. Next year, you should <NS type=""S""><i>calulate</i><c>calculate</c></NS> or <NS type=""RV"">examine</NS> how many people <NS type=""TV""><i>come</i><c>will come</c></NS> before you choose a hall, <NS type=""CE"">which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well</NS>. And the offer of <NS type=""MD""><c>a</c></NS> ""<NS type=""S""><i>weedend</i><c>weekend</c></NS> ticket"" was an excellent idea<NS type=""RP""><i>. Because</i><c>, because</c></NS> <NS type=""R"">the price was cheaper than <NS type=""FV""><i>buy</i><c>buying</c></NS> it <NS type=""DY""><i><NS type=""S""><i>sperate</i><c>separate</c></NS></i><c>separately</c></NS> and more <NS type=""DJ""><i><NS type=""S""><i>convience</i><c>convenience</c></NS></i><c>convenient</c></NS></NS>.",RV,1,1,73,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space , as the hall of the classical concert was too small and crowded. Next year, you should calculate or | how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","['how', 'many', 'people']",WRB JJ NNS,advmod amod nsubj,ADV ADJ NOUN,WRB,JJ,NNS,advmod,amod,nsubj,73,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space , as the hall of the classical concert was too small and crowded. Next year, you should calculate or | examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","['examine', 'how', 'many']",VB WRB JJ,conj advmod amod,VERB ADV ADJ,VB,WRB,JJ,conj,advmod,amod,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
80,TR184*0102*2000*02,Chinese,22.0,3.1,"The idea of <NS type=""MD""><c>an</c></NS> ""International Art Festival"" was great. But I feel the word <NS type=""UT""><i>of</i></NS> ""International"" was not really <NS type=""DJ""><i>suit</i><c>suitable</c></NS>; because you <NS type=""UY""><i>just</i></NS> only <NS type=""RV""><i>got</i><c>had</c></NS> six <NS type=""RP""><i>countrie's</i><c>countries'</c></NS> stars and artists <NS type=""UV""><i>came</i></NS>. I think you should invite more than ten countries. The other problem was <NS type=""R"">choosing space</NS><NS type=""RP""><i>. <NS type=""RT""><i>Like</i><c>As</c></NS></i><c>, as</c></NS> the hall of <NS type=""MD""><c>the</c></NS> classical concert was too small and crowded. Next year, you should <NS type=""S""><i>calulate</i><c>calculate</c></NS> or <NS type=""RV"">examine</NS> how many people <NS type=""TV""><i>come</i><c>will come</c></NS> before you choose a hall, <NS type=""CE"">which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well</NS>. And the offer of <NS type=""MD""><c>a</c></NS> ""<NS type=""S""><i>weedend</i><c>weekend</c></NS> ticket"" was an excellent idea<NS type=""RP""><i>. Because</i><c>, because</c></NS> <NS type=""R"">the price was cheaper than <NS type=""FV""><i>buy</i><c>buying</c></NS> it <NS type=""DY""><i><NS type=""S""><i>sperate</i><c>separate</c></NS></i><c>separately</c></NS> and more <NS type=""DJ""><i><NS type=""S""><i>convience</i><c>convenience</c></NS></i><c>convenient</c></NS></NS>.",CE,22,1,85,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, | . And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","['.', 'And', 'the']",. CC DT,punct cc det,PUNCT CCONJ DET,.,CC,DT,punct,cc,det,85,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, | which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well. And the offer of a ""weekend ticket"" was an excellent idea, because the price was cheaper than buying it separately and more convenient . ","['which', 'I', 'feel']",WDT PRP VBP,dobj nsubj relcl,DET PRON VERB,WDT,PRP,VBP,dobj,nsubj,relcl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,TR207*0102*2000*02,Chinese,28.0,3.2,"Firstly, I want to say it is a great idea to have this international arts festival<NS type=""RP""><i>, it</i><c>. It</c></NS> is very interesting, especially for <NS type=""UD""><i>the</i></NS> young people. I went to this festival with four friends and all of us enjoyed our time <NS type=""MY""><c>there</c></NS> very much. It was said that stars and artists from around the world <NS type=""M""><c>would be there</c></NS> <NS type=""RT""><i>on</i><c>in</c></NS> the advertisement, but in fact they <NS type=""TV""><i>are</i><c>were</c></NS> from only six different countries, so I hope there will be artists from more <NS type=""UJ""><i>different</i></NS> countries next year. Although the jazz, rock and classical music was great, some <NS type=""RN"">concerts</NS> and halls <NS type=""TV""><i>are</i><c>were</c></NS> too small<NS type=""RP""><i>, could</i><c>. Could</c></NS> you consider making them bigger next year<NS type=""RP""><i>.</i><c>?</c></NS>",RN,1,1,101,"Firstly, I want to say it is a great idea to have this international arts festival. It is very interesting, especially for young people. I went to this festival with four friends and all of us enjoyed our time there very much. It was said that stars and artists from around the world would be there in the advertisement, but in fact they were from only six different countries, so I hope there will be artists from more countries next year. Although the jazz, rock and classical music was great, some | and halls were too small. Could you consider making them bigger next year? ","['and', 'halls', 'were']",CC NNS VBD,cc conj ROOT,CCONJ NOUN AUX,CC,NNS,VBD,cc,conj,ROOT,101,"Firstly, I want to say it is a great idea to have this international arts festival. It is very interesting, especially for young people. I went to this festival with four friends and all of us enjoyed our time there very much. It was said that stars and artists from around the world would be there in the advertisement, but in fact they were from only six different countries, so I hope there will be artists from more countries next year. Although the jazz, rock and classical music was great, some | concerts and halls were too small. Could you consider making them bigger next year? ","['concerts', 'and', 'halls']",NNS CC NNS,nsubj cc conj,NOUN CCONJ NOUN,NNS,CC,NNS,nsubj,cc,conj,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
97,TR207*0102*2000*02,Chinese,28.0,3.2,"<NS type=""R"">OK, just here</NS>. I look forward to hearing from you soon. <NS type=""ID""><i>All the best wishes</i><c>All the best</c></NS> and good luck.",R,3,1,0,| . I look forward to hearing from you soon. All the best and good luck. ,"['.', 'I', 'look']",. PRP VBP,ROOT nsubj ROOT,PUNCT PRON VERB,.,PRP,VBP,ROOT,nsubj,ROOT,0,"| OK, just here. I look forward to hearing from you soon. All the best and good luck. ","['OK', ',', 'just']","UH , RB",ROOT punct advmod,INTJ PUNCT ADV,UH,",",RB,ROOT,punct,advmod,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
109,TR240*0102*2000*02,Chinese,26.0,3.2,"I <NS type=""TV""><i>have seen</i><c>saw</c></NS> your advertisement in ""the Sun"" newspaper on 10th November, and I went to the festival <NS type=""UT""><i>on</i></NS> last Friday. Most of the events were wonderful and <NS type=""UP""><i>well-organised</i><c>well organised</c></NS>. I enjoyed it, but I think it could be even better next year, so I would like to give my <NS type=""DJ"">inmature</NS> <NS type=""FN""><i>views</i><c>view</c></NS> of it.",DJ,1,1,55,"I saw your advertisement in ""the Sun"" newspaper on 10th November, and I went to the festival last Friday. Most of the events were wonderful and well organised. I enjoyed it, but I think it could be even better next year, so I would like to give my | view of it. ","['view', 'of', 'it']",NN IN PRP,dobj prep pobj,NOUN ADP PRON,NN,IN,PRP,dobj,prep,pobj,55,"I saw your advertisement in ""the Sun"" newspaper on 10th November, and I went to the festival last Friday. Most of the events were wonderful and well organised. I enjoyed it, but I think it could be even better next year, so I would like to give my | inmature view of it. ","['inmature', 'view', 'of']",JJ NN IN,amod dobj prep,ADJ NOUN ADP,JJ,NN,IN,amod,dobj,prep,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
110,TR240*0102*2000*02,Chinese,26.0,3.2,"Firstly, the idea of holding this International Arts Festival is great. <NS type=""RA""><i>I</i><c>It</c></NS> <NS type=""RV""><i>made</i><c>allowed</c></NS> people <NS type=""FV""><i>enjoyed</i><c>to enjoy</c></NS> their weekend, <NS type=""FV""><i>relaxed</i><c>relax</c></NS> <NS type=""UA""><i>themselves</i></NS>, <NS type=""MC""><c>and</c></NS> also it brought <NS type=""RD""><i>the</i><c>a</c></NS> foreign culture to them, <NS type=""RV""><i><NS type=""FV""><i>enlarged</i><c>enlarging</c></NS></i><c>broadening</c></NS> their <NS type=""S""><i>kownlegth</i><c>knowledge</c></NS>. In addition to <NS type=""RA""><i>it</i><c>this</c></NS>, one weekend ticket for all <NS type=""MD""><c>the</c></NS> events was only £10<NS type=""RP""><i>, this</i><c>. This</c></NS> was excellent<NS type=""RP""><i>, it</i><c>. It</c></NS> <NS type=""RV""><i>made</i><c>meant</c></NS> people only <NS type=""TV""><i>spend</i><c>spent</c></NS> <NS type=""RN"">pocket-money</NS>, and then they could watch all the events at the <NS type=""S""><i>weeked</i><c>weekend</c></NS><NS type=""RP""><i>, for</i><c>. For</c></NS> them it is <NS type=""MD""><c>a</c></NS> really economical <NS type=""MN""><c>way</c></NS> to <NS type=""FV""><i>spent</i><c>spend</c></NS> their weekend. So my friends told me that <NS type=""MA""><c>this</c></NS> was <NS type=""AGD""><i>his</i><c>their</c></NS> cheapest weekend.",RN,1,1,63,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought a foreign culture to them, broadening their knowledge. In addition to this, one weekend ticket for all the events was only £10. This was excellent. It meant people only spent | , and then they could watch all the events at the weekend. For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ","[',', 'and', 'then']",", CC RB",punct cc advmod,PUNCT CCONJ ADV,",",CC,RB,punct,cc,advmod,63,"Firstly, the idea of holding this International Arts Festival is great. It allowed people to enjoy their weekend, relax , and also it brought a foreign culture to them, broadening their knowledge. In addition to this, one weekend ticket for all the events was only £10. This was excellent. It meant people only spent | pocket-money, and then they could watch all the events at the weekend. For them it is a really economical way to spend their weekend. So my friends told me that this was their cheapest weekend. ","['pocket', '-', 'money']",NN HYPH NN,compound punct dobj,NOUN PUNCT NOUN,NN,HYPH,NN,compound,punct,dobj,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
111,TR240*0102*2000*02,Chinese,26.0,3.2,"Moreover, the stars and artists were <NS type=""W""><i>only from</i><c>from only</c></NS> six countries<NS type=""RP""><i>,</i><c>.</c></NS> In my opinion, if you can invite more stars and artists from more countries, it will make the festival more exciting, more <NS type=""S""><i>intesting</i><c>interesting</c></NS>, and <NS type=""ID""><i>from my point of view</i><c>in my opinion</c></NS>, some <NS type=""M""><c>of the</c></NS> concert halls were too small<NS type=""RP""><i>, the</i><c>. The</c></NS> people in there couldn't even go to the loo<NS type=""RP""><i>!</i><c>,</c></NS> because it was too <NS type=""SX""><i>crowed</i><c>crowded</c></NS>. Finally, the plays and films were wonderfully <NS type=""RV"">welcomed</NS>, as far as I'm concerned. If you can <NS type=""RV""><i>show</i><c>have</c></NS> more <NS type=""FN""><i>play</i><c>plays</c></NS> and films<NS type=""MP""><c>,</c></NS> <NS type=""RP""><i>It</i><c>it</c></NS> will <NS type=""RV""><i>achieve</i><c>have</c></NS> a good effect.",RV,1,1,79,"Moreover, the stars and artists were from only six countries. In my opinion, if you can invite more stars and artists from more countries, it will make the festival more exciting, more interesting, and in my opinion, some of the concert halls were too small. The people in there couldn't even go to the loo, because it was too crowded. Finally, the plays and films were wonderfully | , as far as I'm concerned. If you can have more plays and films, it will have a good effect. ","[',', 'as', 'far']",", RB RB",punct advmod advmod,PUNCT ADV ADV,",",RB,RB,punct,advmod,advmod,79,"Moreover, the stars and artists were from only six countries. In my opinion, if you can invite more stars and artists from more countries, it will make the festival more exciting, more interesting, and in my opinion, some of the concert halls were too small. The people in there couldn't even go to the loo, because it was too crowded. Finally, the plays and films were wonderfully | welcomed, as far as I'm concerned. If you can have more plays and films, it will have a good effect. ","['welcomed', ',', 'as']","VBN , RB",ROOT punct advmod,VERB PUNCT ADV,VBN,",",RB,ROOT,punct,advmod,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
112,TR240*0102*2000*02,Chinese,26.0,3.2,"<NS type=""AGA""><i>This</i><c>These</c></NS> are only my <NS type=""DJ""><i>inmature</i><c>immature</c></NS> views<NS type=""RP""><i>, if</i><c>. If</c></NS> <NS type=""R"">it is considerable for you</NS>, I will be very pleased<NS type=""RP""><i>, thank</i><c>. Thank</c></NS> you very much.",R,5,1,8,"These are only my immature views. If | , I will be very pleased. Thank you very much. ","[',', 'I', 'will']",", PRP MD",punct nsubj aux,PUNCT PRON VERB,",",PRP,MD,punct,nsubj,aux,8,"These are only my immature views. If | it is considerable for you, I will be very pleased. Thank you very much. ","['it', 'is', 'considerable']",PRP VBZ JJ,nsubj advcl acomp,PRON AUX ADJ,PRP,VBZ,JJ,nsubj,advcl,acomp,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
113,TR240*0102*2000*02,Chinese,26.0,3.2,"At my home, there are many rules, because I'm careless, so I <NS type=""UP""><i>amn't</i><c>am not</c></NS> allowed to smoke at home <NS type=""RY""><i>as well</i><c>either</c></NS>: and I'm not allowed to use <NS type=""MD""><c>the</c></NS> telephone, because last year I <NS type=""RV""><i>made</i><c>ran up</c></NS> <NS type=""MD""><c>a</c></NS> £1000 bill for one month<NS type=""RP""><i>, my</i><c>. My</c></NS> parents were very angry with <NS type=""RA""><i>it</i><c>me</c></NS>, so they told me I am not to use <NS type=""MD""><c>the</c></NS> telephone any more<NS type=""RP""><i>, oh</i><c>. Oh</c></NS>, <NS type=""RP""><i>How</i><c>how</c></NS> <NS type=""RJ"">poor</NS>!",RJ,1,1,74,"At my home, there are many rules, because I'm careless, so I am not allowed to smoke at home either: and I'm not allowed to use the telephone, because last year I ran up a £1000 bill for one month. My parents were very angry with me, so they told me I am not to use the telephone any more. Oh, how | ! ","['!', '_', '_']",. _ _,punct _ _,PUNCT _ _,.,_,_,punct,_,_,74,"At my home, there are many rules, because I'm careless, so I am not allowed to smoke at home either: and I'm not allowed to use the telephone, because last year I ran up a £1000 bill for one month. My parents were very angry with me, so they told me I am not to use the telephone any more. Oh, how | poor! ","['poor', '!', '_']",JJ . _,ROOT punct _,ADJ PUNCT _,JJ,.,_,ROOT,punct,_,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
